id,name,fuel_id,unit
boiler,Conventional Boiler Use,electricity,kWh
process_heating,Process Heating,electricity,kWh
process_cooling,Process Cooling and Refrigeration,electricity,kWh
machine_drive,Machine Drive,electricity,kWh
process_electrochemical,Electro-Chemical Processes,electricity,kWh
process_other,Other Process Use,electricity,kWh
hvac,Facility HVAC,electricity,kWh
lighting,Facility Lighting,electricity,kWh
nonprocess_other,Other Nonprocess Use,electricity,kWh
other,Miscellaneous unknown,electricity,kWh